Player,TJ Surgery Date,Back to Playing?,Years Between,Surgeon
Adam Choplick,1/1/2011,Back,1,
Adam Choplick,4/12/2010,,,Unknown
Adam Parks,6/23/2016,Back,4,
Adam Parks,1/1/2012,,,Unknown
Al Reyes,10/18/2005,Back,10,
Al Reyes,8/1/1995,,,Unknown
Alfredo Silverio,6/26/2013,Back,1,
Alfredo Silverio,5/9/2012,,,Unknown
Anderson Espinoza,4/22/2019,Not yet,2,
Anderson Espinoza,7/31/2017,,,Dr. Keith Meister
Andrew Lee,7/29/2016,Back,5,
Andrew Lee,1/1/2012,,,Unknown
Andrew McKirahan,3/10/2016,Not back,4,
Andrew McKirahan,7/13/2012,,,Dr. Stephen Gryzlo
Artie Lewicki,8/1/2018,Back,6,
Artie Lewicki,8/1/2012,,,Dr. Christopher Ahmad
Blaine Howell,1/1/2013,Back,1,
Blaine Howell,1/1/2012,,,Unknown
Blake Wood,5/30/2018,Not yet,6,
Blake Wood,5/25/2012,,,Dr. Lewis Yocum
Brandon Bailey,2/1/2021,Not yet,9,
Brandon Bailey,7/23/2012,,,Unknown
Brandon Beachy,3/21/2014,Back,2,
Brandon Beachy,6/21/2012,,,Dr. James Andrews
Brian Anderson,1/1/2006,Not back,1,
Brian Anderson,7/21/2005,,,Dr. Timothy Kremchek
Brian Wilson,4/19/2012,Back,9,
Brian Wilson,1/1/2003,,,Unknown
Carlos Almanzar,7/1/2006,Not back,1,
Carlos Almanzar,5/11/2005,,,Dr. Lewis Yocum
Chad Fox,7/27/1999,Back,3,
Chad Fox,7/1/1996,,,Dr. James Andrews
Chang-Yong Lim,7/1/2012,Back,8,
Chang-Yong Lim,1/1/2005,,,Unknown
Chris Capuano,5/15/2008,Back,6,
Chris Capuano,5/17/2002,,,Dr. James Andrews
Christian Garcia,4/20/2010,Back,4,
Christian Garcia,1/1/2006,,,Unknown
Cole Ragans,5/15/2019,Not yet,1,
Cole Ragans,3/28/2018,,,Dr. Keith Meister
Cole Sulser,1/1/2015,Back,4,
Cole Sulser,4/1/2011,,,Unknown
Connor Curry,1/1/2020,Not yet,2,
Connor Curry,10/1/2017,,,Unknown
Connor Sadzeck,10/3/2019,Not yet,6,
Connor Sadzeck,3/26/2014,,,Dr. Keith Meister
Corey Black,4/9/2019,Not yet,2,
Corey Black,2/1/2017,Not yet,6,Unknown
Corey Black,1/1/2011,,,Unknown
Cory Luebke,2/18/2014,Back,2,
Cory Luebke,5/23/2012,,,Dr. Lewis Yocum
Daniel Hudson,6/18/2013,Back,1,
Daniel Hudson,7/9/2012,,,Dr. Lewis Yocum
Daniel Missaki,3/24/2016,Not back,1,
Daniel Missaki,5/12/2015,,,Unknown
Darren Dreifort,7/9/2001,Back,6,
Darren Dreifort,3/14/1995,,,Dr. Frank Jobe
Dave Eiland,4/24/2002,Not back,1,
Dave Eiland,5/1/2001,,,Dr. James Andrews
Denny Stark,1/1/2007,Back,1,
Denny Stark,1/1/2006,,,Unknown
Derek Thompson,7/1/2005,Not back,2,
Derek Thompson,3/5/2003,,,Unknown
Doug Brocail,9/1/2002,Back,1,
Doug Brocail,4/27/2001,,,Dr. Thomas Mehlhoff
Drew Rasmussen,8/23/2017,Back,1,
Drew Rasmussen,3/29/2016,,,Dr. Luis Vela
Edinson Volquez,8/4/2017,Back,8,
Edinson Volquez,8/3/2009,,,Dr. Timothy Kremchek
Eric Eadington,1/1/2014,Not back,5,
Eric Eadington,8/1/2008,,,Unknown
Garrett Bolt,5/1/2013,Back,2,
Garrett Bolt,8/1/2011,,,Unknown
Grant Hockin,6/6/2018,Not yet,3,
Grant Hockin,6/17/2015,,,Unknown
Greg Colbrunn,8/10/1993,Back,3,
Greg Colbrunn,1/1/1991,,,Unknown
Greg Williams,1/1/2015,Back,2,
Greg Williams,10/1/2012,,,Dr. Keith Meister
Hung-Chih Kuo,1/1/2003,Back,3,
Hung-Chih Kuo,1/1/2000,,,Unknown
Ian Gardeck,5/16/2017,Back,1,
Ian Gardeck,3/23/2016,,,Unknown
Jace Fry,6/18/2015,Back,3,
Jace Fry,6/1/2012,,,Unknown
Jack DeGroat,4/1/2019,Not yet,1,
Jack DeGroat,1/1/2018,,,Unknown
Jacob Lindgren,3/27/2018,Back,2,
Jacob Lindgren,8/5/2016,,,Unknown
Jameson Taillon,8/13/2019,Not yet,5,
Jameson Taillon,4/9/2014,,,Dr. David Altchek
Jarrod Parker,3/24/2014,Not back,4,
Jarrod Parker,10/28/2009,,,Dr. James Andrews
Jason Frasor,1/1/2001,Back,3,
Jason Frasor,1/1/1998,,,Unknown
Jason Isringhausen,9/1/2009,Back,1,
Jason Isringhausen,6/16/2009,Back,11,Dr. George Paletta
Jason Isringhausen,1/13/1998,,,Dr. George Paletta
Javier Herrera,1/1/2014,Not back,8,
Javier Herrera,1/1/2006,,,Unknown
Jay Payton,3/1/1997,Back,1,
Jay Payton,9/1/1995,,,Unknown
Jeremy Hefner,10/9/2014,Not back,1,
Jeremy Hefner,8/28/2013,,,Dr. David Altchek
Joakim Soria,4/2/2012,Back,9,
Joakim Soria,1/1/2003,,,Dr. Frank Jobe
Joe Nathan,4/29/2015,Back,5,
Joe Nathan,3/26/2010,,,Dr. David Altchek
Joel Hanrahan,3/18/2015,Not back,2,
Joel Hanrahan,5/16/2013,,,Dr. James Andrews
Joey Devine,4/10/2012,Not back,3,
Joey Devine,4/21/2009,,,Dr. James Andrews
John Farrell,9/9/1991,Back,1,
John Farrell,10/5/1990,,,Unknown
John Fasola,5/21/2019,Not yet,7,
John Fasola,10/1/2012,,,Unknown
John Lamb,7/10/2018,Not yet,7,
John Lamb,6/3/2011,,,Dr. Lewis Yocum
Johnny Anderson,7/12/2011,Back,1,
Johnny Anderson,3/1/2010,,,Unknown
Jonny Venters,9/17/2014,Back,1,
Jonny Venters,5/16/2013,Back,8,Dr. James Andrews
Jonny Venters,1/1/2005,,,Unknown
Jordan Ellis,5/1/2012,Not back,10,
Jordan Ellis,1/1/2002,,,Unknown
Jose Adames,6/14/2018,Not yet,2,
Jose Adames,9/21/2016,,,Unknown
Josh Ford,1/1/2009,Back,1,
Josh Ford,1/1/2008,,,Unknown
Josh Johnson,4/24/2014,Not back,7,
Josh Johnson,8/3/2007,,,Dr. James Andrews
Josh Pennington,5/1/2018,Not back,4,
Josh Pennington,6/24/2014,,,Dr. James Andrews
Josh Rogers,7/3/2019,Not yet,6,
Josh Rogers,4/1/2013,,,Dr. Timothy Kremchek
Justin Topa,4/29/2015,Back,4,
Justin Topa,1/1/2011,,,Unknown
Keaton McKinney,4/20/2018,Not back,1,
Keaton McKinney,2/10/2017,,,Unknown
Kris Medlen,3/18/2014,Back,4,
Kris Medlen,8/18/2010,,,Dr. James Andrews
Kyle Drabek,6/19/2012,Back,5,
Kyle Drabek,7/25/2007,,,Dr. David Altchek
Kyle Molnar,1/1/2018,Not yet,2,
Kyle Molnar,6/1/2016,,,Unknown
Lance Carter,1/1/2000,Back,4,
Lance Carter,1/1/1996,,,Unknown
Leandro Marin,1/1/2010,Back,4,
Leandro Marin,1/1/2006,,,Unknown
Luke Scherzer,2/24/2017,Back,1,
Luke Scherzer,3/1/2016,,,Unknown
Mason Hope,10/21/2015,Not back,2,
Mason Hope,4/1/2014,,,Unknown
Mason Tobin,6/2/2011,Back,2,
Mason Tobin,4/30/2009,,,Unknown
Matt Beech,9/21/1999,Not back,1,
Matt Beech,9/11/1998,,,Dr. Lewis Yocum
Matt Bush,7/1/2019,Not yet,13,
Matt Bush,1/1/2007,,,Unknown
Matt Riley,7/1/2005,Not back,5,
Matt Riley,9/1/2000,,,Unknown
Michael Smith,7/15/2015,Not back,7,
Michael Smith,1/1/2009,,,Unknown
Mike Clevinger,11/17/2020,Not yet,8,
Mike Clevinger,8/1/2012,,,Unknown
Mike Lincoln,7/13/2005,Back,1,
Mike Lincoln,7/13/2004,,,Dr. George Paletta
Nate Bland,1/1/2001,Back,2,
Nate Bland,1/1/1999,,,Unknown
Nathan Eovaldi,8/19/2016,Back,9,
Nathan Eovaldi,5/27/2007,,,Unknown
Nick Burdi,10/14/2020,Not yet,3,
Nick Burdi,5/31/2017,,,Dr. Keith Meister
Nick Vander Tuig,6/24/2015,Not back,6,
Nick Vander Tuig,1/1/2009,,,Dr. Lewis Yocum
Pedro Figueroa,4/30/2014,Not back,4,
Pedro Figueroa,1/1/2010,,,Unknown
Peter Fairbanks,8/14/2017,Back,7,
Peter Fairbanks,1/1/2011,,,Unknown
Peter Moylan,4/1/2014,Back,6,
Peter Moylan,5/8/2008,,,Dr. James Andrews
Preston Gainey,6/14/2019,Not yet,1,
Preston Gainey,3/20/2018,,,Dr. William Raasch
Quintin Torres-Costa,9/13/2018,Not yet,5,
Quintin Torres-Costa,5/6/2013,,,Dr. Darryl Kan
Randy LeBlanc,1/1/2018,Not yet,7,
Randy LeBlanc,3/1/2011,,,Unknown
Randy Wolf,10/30/2012,Back,7,
Randy Wolf,7/1/2005,,,Dr. Lewis Yocum
Rob Wooten,5/23/2017,Back,7,
Rob Wooten,4/8/2010,,,Unknown
Rubby De La Rosa,8/22/2017,Not yet,6,
Rubby De La Rosa,8/9/2011,,,Dr. James Andrews
Sam Freeman,8/19/2020,Not yet,10,
Sam Freeman,3/10/2010,,,Unknown
Sam Tewes,7/1/2019,Not yet,3,
Sam Tewes,3/31/2016,,,Dr. James Andrews
Scott Mathieson,5/1/2008,Back,2,
Scott Mathieson,9/29/2006,,,Dr. Lewis Yocum
Scott Williamson,10/30/2004,Back,4,
Scott Williamson,4/12/2001,,,Dr. James Andrews
Sean Burnett,6/5/2014,Back,10,
Sean Burnett,9/22/2004,,,Unknown
Shane Loux,6/12/2013,Back,8,
Shane Loux,1/1/2005,,,Unknown
Shawn Hill,6/30/2009,Back,5,
Shawn Hill,9/8/2004,,,Dr. James Andrews
Shawn Kelley,9/1/2010,Back,8,
Shawn Kelley,1/1/2003,,,Unknown
Steve Ontiveros,6/13/1996,Back,7,
Steve Ontiveros,7/20/1989,,,Dr. Frank Jobe
Taylor Jordan,5/26/2016,Not yet,5,
Taylor Jordan,9/7/2011,,,Unknown
Tim Collins,4/15/2016,Back,1,
Tim Collins,3/11/2015,,,Dr. James Andrews
Tim Spooneybarger,8/1/2005,Not back,2,
Tim Spooneybarger,9/9/2003,,,Dr. James Andrews
Todd Coffey,7/18/2012,Not back,13,
Todd Coffey,8/1/1999,,,Unknown
Trevor Bettencourt,6/1/2019,Not yet,5,
Trevor Bettencourt,1/1/2014,,,Unknown
Ty Hensley,1/1/2016,Not yet,1,
Ty Hensley,3/31/2015,,,Dr. James Andrews
Tyler Chatwood,7/23/2014,Back,9,
Tyler Chatwood,1/1/2006,,,Unknown
Tyler Yates,7/14/2009,Not back,7,
Tyler Yates,6/19/2002,,,Unknown
Vance Wilson,6/25/2008,Not back,1,
Vance Wilson,6/13/2007,,,Dr. David Altchek
Victor Zambrano,5/15/2006,Back,10,
Victor Zambrano,1/1/1996,,,Unknown
Will Remillard,3/1/2016,Back,1,
Will Remillard,3/25/2015,,,Unknown
Xavier Nady,7/1/2009,Back,9,
Xavier Nady,1/1/2001,,,Dr. Lewis Yocum
Yosmer Leal,6/6/2017,Not back,2,
Yosmer Leal,5/28/2015,,,Unknown