Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Casey Lambert,CHC,AAA,RP,L,23,2009,22,234.6,127
Parker Frazier,COL,A,SP,R,20,2009,0,262.3,54
Jason Isringhausen,TB,MLB,RP,R,36,2009,30,688.6,600
Marcus Hatley,CHC,A,SP,R,21,2009,0,172,58
Jordan Zimmermann,WAS,MLB,SP,R,23,2009,43,287,56
Mark Lamm,ATL,HS,RP,R,21,2009,0,0,0
Tim Berry,BAL,HS,SP,L,18,2009,0,0,0
Beau Wright,MIA,HS,RP,L,18,2009,0,0,0
Brett Marshall,NYY,A,SP,R,19,2009,0,93.3,20
Adrian Sampson,PIT,HS,RP,R,17,2009,0,0,0
Ryan Mattheus,COL,AAA,SP,R,25,2009,18,555,161
Will Harris,COL,A-,RP,R,24,2009,0,141.3,110
Mike Aviles,KC,MLB,IF,R,28,2009,2956,0,762
George Kontos,NYY,AAA,SP,R,24,2009,0,395.3,73
Neal Cotts,CHC,MLB,RP,L,29,2009,9,658.3,404
Billy Petrick,CHC,A+,SP,R,25,2009,6,407.3,114
Chandler Shepherd,BOS,HS,SP,R,16,2009,0,0,0
Josh Outman,OAK,MLB,SP,L,24,2009,21,535.3,127
Henry Barrera,KC,A,RP,R,23,2009,0,162.6,111
Nolan Gallagher,SEA,A-,SP,R,23,2009,0,94.3,21
Taylor Buchholz,COL,MLB,SP,R,27,2009,120,1037.6,265
Anthony Reyes,CLE,MLB,SP,R,27,2009,138,721.3,141
Jesse Litsch,TOR,MLB,SP,R,24,2009,4,526.6,109
Andrew Chafin,ARI,HS,RP,L,19,2009,0,0,0
Dan Giese,OAK,MLB,RP,R,32,2009,17,736.6,423
Duane Below,DET,AA,SP,L,23,2009,0,362,78
David Riske,MIL,MLB,RP,R,32,2009,1,749.6,652
Dallas Beeler,CHC,HS,SP,R,20,2009,0,0,0
Steve Matre,LAD,HS,RP,R,21,2009,0,0,0
Kyle Mura,STL,AA,RP,R,24,2009,7,239.3,99
Bill Bray,CIN,MLB,RP,L,26,2009,6,225.6,223
Scott Proctor,LAD,MLB,RP,R,32,2009,42,848.3,491
Jimmy Barthmaier,PIT,AAA,SP,R,25,2009,24,616.6,139
Alfredo Simon,BAL,MLB,SP,R,28,2009,16,694,167
John Ennis,PHI,AAA,RP,R,29,2009,42,1035.6,359
Oscar Villarreal,HOU,MLB,RP,R,27,2009,55,802.6,374
Nick McCurdy,MIA,AAA,RP,R,29,2009,3,551.3,250
Cameron Coffey,BAL,HS,SP,L,18,2009,0,0,0
Mark Worrell,STL,AAA,RP,R,26,2009,5,286,246
Brae Wright,MIL,AA,SP,L,25,2009,40,346.3,71
Miguel Gonzalez,LAA,AA,RP,R,25,2009,0,263,108
Ryan Feierabend,SEA,MLB,SP,L,23,2009,0,790.6,150
Todd Jennings,SF,AAA,C,R,27,2009,1674,0,456
Clayton Shunick,CIN,Rk,SP,R,22,2009,0,38.3,10
Josh Ford,ARI,AA,C,R,26,2009,1555,0,434
Alex Wood,ATL,HS,SP,L,18,2009,0,0,0
Matt Marksberry,ATL,HS,SP,L,18,2009,0,0,0
James Avery,CIN,AA,SP,R,25,2009,78,500.3,99
Kyle Lotzkar,CIN,A,SP,R,19,2009,0,66.6,19
Curt Casali,DET,Coll,C,R,20,2009,24,0,10
Montreal Robertson,DET,HS,RP,R,19,2009,0,0,0
Dayan Diaz,HOU,Rk,RP,R,20,2009,0,76.3,29
Christian Binford,KC,HS,SP,R,16,2009,0,0,0
Dallas Trahern,MIA,AAA,SP,R,23,2009,37,645,113
Daniel Mahoney,MIA,A-,RP,R,21,2009,0,31.3,10
Josh Romanski,MIL,Coll,OF,L,22,2009,15,0,4
John Holdzkom,NYM,A,RP,R,21,2009,0,121,51
Mitch LeVier,OAK,A,OF,L,21,2009,292,0,85
Elvis Araujo,PHI,Rk,SP,L,17,2009,0,57,14
Zack Sterner,PHI,A+,RP,R,23,2009,0,119.6,61
Andrew Albers,SD,Rk,RP,L,23,2009,0,7,5
Chris Wilkes,SD,A-,SP,R,19,2009,0,92.3,24
Will Startup,SD,AAA,RP,L,24,2009,4,187,140
Dan Otero,SF,AA,RP,R,24,2009,0,115.3,113
Nick Petree,STL,HS,SP,R,18,2009,0,0,0
Albert Suarez,TB,A-,SP,R,19,2009,0,53.3,13
Adam Liberatore,TB,A,RP,L,22,2009,0,27.3,17